,X,Y,condition,genotype,sex,replicate
8,231,0.7882653061224489,cont,mhc,m,5
9,192,0.7908163265306123,cont,mhc,m,5
10,133,0.5765306122448979,cont,mhc,m,5
11,103,0.8214285714285714,cont,mhc,m,5
12,133,0.6798469387755102,cont,mhc,m,5
13,167,0.8545918367346939,cont,mhc,m,5
14,123,0.7397959183673469,cont,mhc,m,5
15,126,0.8380102040816326,cont,mhc,m,5
16,174,0.8494897959183674,cont,mhc,m,5
17,207,0.7117346938775511,cont,mhc,m,5
18,66,0.7755102040816326,cont,mhc,m,5
19,239,0.8252551020408163,cont,mhc,m,5
20,248,0.840561224489796,cont,mhc,m,5
21,232,0.8482142857142857,cont,mhc,m,5
22,214,0.8660714285714286,cont,mhc,m,5
23,90,0.6517857142857143,cont,mhc,m,5
24,111,0.860969387755102,cont,mhc,m,5
25,194,0.8482142857142857,cont,mhc,m,5
26,116,0.8647959183673469,cont,mhc,m,5
27,241,0.7385204081632653,cont,mhc,m,5
28,261,0.784438775510204,cont,mhc,m,5
29,135,0.8137755102040816,cont,mhc,m,5
30,127,0.8660714285714286,cont,mhc,m,5
31,66,0.8724489795918368,cont,mhc,m,5
32,46,0.7334183673469388,cont,mhc,m,5
33,120,0.8788265306122449,cont,mhc,m,5
34,163,0.798469387755102,cont,mhc,m,5
35,266,0.8099489795918368,cont,mhc,m,5
36,232,0.8431122448979592,cont,mhc,m,5
37,223,0.8915816326530612,cont,mhc,m,5
38,101,0.9017857142857143,cont,mhc,m,5
39,158,0.9247448979591837,cont,mhc,m,5
40,165,0.8201530612244898,cont,mhc,m,5
41,190,0.8341836734693877,cont,mhc,m,5
42,54,0.8584183673469388,cont,mhc,m,5
43,36,0.909438775510204,cont,mhc,m,5
44,47,0.8737244897959184,cont,mhc,m,5
45,248,0.8852040816326531,cont,mhc,m,5
46,89,0.8941326530612245,cont,mhc,m,5
47,256,0.9260204081632653,cont,mhc,m,5
48,131,0.8456632653061225,cont,mhc,m,5
49,33,0.8775510204081632,cont,mhc,m,5
50,248,0.9936224489795918,cont,mhc,m,5
51,218,0.8545918367346939,cont,mhc,m,5
52,74,0.8839285714285714,cont,mhc,m,5
53,170,0.9005102040816326,cont,mhc,m,5
0,258,0.5803571428571428,cont,mhc,m,7
1,148,0.534438775510204,cont,mhc,m,7
2,204,0.6237244897959184,cont,mhc,m,7
3,246,0.7168367346938775,cont,mhc,m,7
4,188,0.6198979591836735,cont,mhc,m,7
5,151,0.7079081632653061,cont,mhc,m,7
6,153,0.7767857142857143,cont,mhc,m,7
7,231,0.8010204081632653,cont,mhc,m,7
8,145,0.6581632653061225,cont,mhc,m,7
9,241,0.7168367346938775,cont,mhc,m,7
10,137,0.7308673469387755,cont,mhc,m,7
11,147,0.7346938775510203,cont,mhc,m,7
12,280,0.0267857142857143,cont,mhc,m,7
13,204,0.7181122448979591,cont,mhc,m,7
14,65,0.6109693877551021,cont,mhc,m,7
15,168,0.715561224489796,cont,mhc,m,7
16,204,0.7512755102040816,cont,mhc,m,7
17,179,0.7920918367346939,cont,mhc,m,7
18,106,0.840561224489796,cont,mhc,m,7
19,145,0.8698979591836735,cont,mhc,m,7
20,174,0.6568877551020409,cont,mhc,m,7
21,63,0.7551020408163265,cont,mhc,m,7
22,138,0.6772959183673469,cont,mhc,m,7
23,159,0.7448979591836735,cont,mhc,m,7
24,264,0.7563775510204082,cont,mhc,m,7
25,152,0.7410714285714286,cont,mhc,m,7
26,126,0.6403061224489797,cont,mhc,m,7
27,106,0.9362244897959183,cont,mhc,m,7
28,247,0.7346938775510203,cont,mhc,m,7
29,93,0.7997448979591837,cont,mhc,m,7
30,263,0.8482142857142857,cont,mhc,m,7
31,182,0.8494897959183674,cont,mhc,m,7
32,175,0.8826530612244898,cont,mhc,m,7
33,196,0.8278061224489796,cont,mhc,m,7
34,145,0.8456632653061225,cont,mhc,m,7
35,123,0.8494897959183674,cont,mhc,m,7
36,133,0.8571428571428572,cont,mhc,m,7
37,51,0.9285714285714286,cont,mhc,m,7
38,79,0.6517857142857143,cont,mhc,m,7
39,147,0.8035714285714286,cont,mhc,m,7
40,73,0.8545918367346939,cont,mhc,m,7
41,31,0.7206632653061225,cont,mhc,m,7
42,21,0.8176020408163265,cont,mhc,m,7
43,33,0.8303571428571428,cont,mhc,m,7
44,87,0.846938775510204,cont,mhc,m,7
45,99,0.8839285714285714,cont,mhc,m,7
46,218,0.889030612244898,cont,mhc,m,7
47,204,0.8022959183673469,cont,mhc,m,7
48,56,0.8545918367346939,cont,mhc,m,7
49,151,0.8724489795918368,cont,mhc,m,7
50,109,0.9081632653061225,cont,mhc,m,7
51,130,0.8354591836734694,cont,mhc,m,7
52,83,0.8852040816326531,cont,mhc,m,7
53,242,0.8737244897959184,cont,mhc,m,7
54,151,0.9005102040816326,cont,mhc,m,7
55,111,0.9349489795918368,cont,mhc,m,7
